Bus Id,Incontact_Time
A48056,49
A48091,2
A48092,90
A48140,92
A48177,71
A500650,543
A500970,746
A715940,663
A721900,62
B115630,564
B310250,488
B51502,462
B516180,459
B630240,581
B630740,627
C13042,31
C130480,132
C13087,179
C13161,139
C13172,645
C201410,409
C30036,2
C30038,38
C30114,43
C301170,343
C30127,41
C30163,18
C302230,534
C30251,29
C302530,521
C418600,692
C47509,61
C47628,17
C47724,3
C477330,356
C477740,334
C47928,54
C47935,3
C51511,36
C515160,492
C51570,10
C82534,15
A29016,399
A290680,577
A410690,520
A411520,1160
B425800,428
B71087,1
B82666,54
C13023,8
C13031,535
C13070,480
C131100,192
C13151,511
C13188,556
C202270,309
C30010,69
C300200,457
C30021,3
C30024,0
C300930,400
C30176,13
C30186,42
C302310,496
C30268,7
C30310,6
C411220,920
C47520,44
C47534,15
C47562,22
C47571,7
C476070,455
C47647,11
C47672,9
C47674,6
C47701,48
C477130,373
C47974,2
C515990,548
C51610,6
C82529,36
C82628,13
C82674,36
C878470,689
A376150,163
A41020,75
A410900,789
A412070,763
A412340,781
A41826,78
A50012,972
B100710,169
B11560,1
B11676,1
B31093,404
B515270,288
B51541,104
B58709,61
B711180,1
B75503,2
B82502,59
C125020,455
C13036,459
C131030,474
C13133,309
C210260,540
C30040,66
C30085,5
C30259,6
C302730,323
C30284,65
C30294,3
C303090,445
C47560,1
C47586,60
C476090,393
C47752,0
C477700,484
C478180,358
C47903,22
C51515,26
C516020,480
A412270,965
A48055,35
A48059,72
A48074,122
A50069,593
A500960,719
B11595,20
B116720,588
B255730,486
B31091,397
B51600,7
B51619,9
B58707,81
B710110,535
B71066,3
B71081,36
B711280,473
B71135,53
B75553,2
C13044,516
C130990,322
C13138,397
C200110,380
C30183,16
C30184,1
C30285,19
C30300,429
C410290,730
C445890,494
C475010,627
C47536,3
C47675,4
C477730,408
C500770,932
C515900,309
C51640,5
C82519,101
C82523,34
A410980,507
A411410,787
A413320,314
A48037,53
A48058,54
A63539,6
B31117,449
B425240,429
B42627,12
B51593,46
B515970,540
B581930,472
C13101,6
C13197,1
C30001,8
C300030,339
C30080,116
C30144,3
C30146,52
C301570,312
C30216,100
C30217,214
C303150,682
C418810,705
C47561,20
C476590,10
C47719,8
